Jour;Nb.ecrevisse;Qui;Rep;Ct;;;;;;;
9;3;Gus;1;44,95;;;;;;;
9;3;Gus;2;55;;;;;;;
9;3;Gus;3;40,39;;;;;;;
9;3;Gus;4;55;;;;;;;
9;3;Gus;5;39,24;;;;;;;
9;3;Gus;6;55;;;;;;;
9;3;LN;1;36,74;;;;;;;
9;3;LN;2;36,85;;;;;;;
9;3;LN;3;37,31;;;;;;;
9;3;LN;4;37,68;;;;;;;
9;3;LN;5;36,92;;;;;;;
9;3;LN;6;37,83;;;;;;;
9;5;Gus;1;41,7;;;;;;;
9;5;Gus;2;55;;;;;;;
9;5;Gus;3;41,44;;;;;;;
9;5;Gus;4;55;;;;;;;
9;5;Gus;5;40,51;;;;;;;
9;5;Gus;6;40,54;;;;;;;
9;5;LN;1;38,48;;;;;;;
9;5;LN;2;38,32;;;;;;;
9;5;LN;3;37,61;;;;;;;
9;5;LN;4;37,71;;;;;;;
9;5;LN;5;37,25;;;;;;;
9;5;LN;6;37,48;;;;;;;
10;1;Gus;1;41,69;;;;;;;
10;1;Gus;2;55;;;;;;;
10;1;Gus;3;38,53;;;;;;;
10;1;Gus;4;41,02;;;;;;;
10;1;Gus;5;41,48;;;;;;;
10;1;Gus;6;40,15;;;;;;;
10;1;LN;1;40,97;;;;;;;
10;1;LN;2;41,67;;;;;;;
10;1;LN;3;40,91;;;;;;;
10;1;LN;4;55;;;;;;;
10;1;LN;5;40,23;;;;;;;
10;1;LN;6;55;;;;;;;
10;3;Gus;1;40,13;;;;;;;
10;3;Gus;2;55;;;;;;;
10;3;Gus;3;42,36;;;;;;;
10;3;Gus;4;55;;;;;;;
10;3;Gus;5;40,12;;;;;;;
10;3;Gus;6;55;;;;;;;
10;3;LN;1;37,87;;;;;;;
10;3;LN;2;38,06;;;;;;;
10;3;LN;3;38,66;;;;;;;
10;3;LN;4;39,25;;;;;;;
10;3;LN;5;38,02;;;;;;;
10;3;LN;6;37,96;;;;;;;
10;5;Gus;1;55;;;;;;;
10;5;Gus;2;40,25;;;;;;;
10;5;Gus;3;41,37;;;;;;;
10;5;Gus;4;55;;;;;;;
10;5;Gus;5;55;;;;;;;
10;5;Gus;6;55;;;;;;;
10;5;LN;1;39,89;;;;;;;
10;5;LN;2;40,25;;;;;;;
10;5;LN;3;38,82;;;;;;;
10;5;LN;4;38,67;;;;;;;
10;5;LN;5;40,75;;;;;;;
10;5;LN;6;37,83;;;;;;;
14;1;Gus;1;55;;;;;;;
14;1;Gus;2;42,12;;;;;;;
14;1;Gus;3;55;;;;;;;
14;1;Gus;4;41,26;;;;;;;
14;1;Gus;5;55;;;;;;;
14;1;Gus;6;55;;;;;;;
14;1;LN;1;55;;;;;;;
14;1;LN;2;55;;;;;;;
14;1;LN;3;55;;;;;;;
14;1;LN;4;55;;;;;;;
14;1;LN;5;55;;;;;;;
14;1;LN;6;55;;;;;;;
14;3;Gus;1;55;;;;;;;
14;3;Gus;2;55;;;;;;;
14;3;Gus;3;55;;;;;;;
14;3;Gus;4;41,14;;;;;;;
14;3;Gus;5;55;;;;;;;
14;3;Gus;6;55;;;;;;;
14;3;LN;1;55;;;;;;;
14;3;LN;2;40,58;;;;;;;
14;3;LN;3;55;;;;;;;
14;3;LN;4;40,01;;;;;;;
14;3;LN;5;55;;;;;;;
14;3;LN;6;55;;;;;;;
14;5;Gus;1;55;;;;;;;
14;5;Gus;2;42;;;;;;;
14;5;Gus;3;55;;;;;;;
14;5;Gus;4;55;;;;;;;
14;5;Gus;5;41,51;;;;;;;
14;5;Gus;6;40,47;;;;;;;
14;5;LN;1;40,23;;;;;;;
14;5;LN;2;40,69;;;;;;;
